"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2012","2012","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,366.5504,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2013","2013","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,349.0367,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2014","2014","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,337.9827,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2015","2015","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,348.8102,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2016","2016","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,341.039,,
"NLD","Netherlands","PM_MOR","Mortality from exposure to outdoor PM2.5","2017","2017","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,348.852,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","1990","1990","1000HAB","Per 1 000 inhabitants","0","Units",,,10.66035,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","1991","1991","1000HAB","Per 1 000 inhabitants","0","Units",,,10.51328,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","1992","1992","1000HAB","Per 1 000 inhabitants","0","Units",,,10.3959,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","1993","1993","1000HAB","Per 1 000 inhabitants","0","Units",,,10.63154,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","1994","1994","1000HAB","Per 1 000 inhabitants","0","Units",,,10.34919,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","1995","1995","1000HAB","Per 1 000 inhabitants","0","Units",,,10.30131,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","1996","1996","1000HAB","Per 1 000 inhabitants","0","Units",,,10.31274,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","1997","1997","1000HAB","Per 1 000 inhabitants","0","Units",,,10.15598,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","1998","1998","1000HAB","Per 1 000 inhabitants","0","Units",,,10.10397,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","1999","1999","1000HAB","Per 1 000 inhabitants","0","Units",,,10.19006,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2000","2000","1000HAB","Per 1 000 inhabitants","0","Units",,,10.12846,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2001","2001","1000HAB","Per 1 000 inhabitants","0","Units",,,9.950273,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2002","2002","1000HAB","Per 1 000 inhabitants","0","Units",,,9.821081,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2003","2003","1000HAB","Per 1 000 inhabitants","0","Units",,,9.683972,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2004","2004","1000HAB","Per 1 000 inhabitants","0","Units",,,9.333396,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2005","2005","1000HAB","Per 1 000 inhabitants","0","Units",,,9.039112,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2006","2006","1000HAB","Per 1 000 inhabitants","0","Units",,,8.831368,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2007","2007","1000HAB","Per 1 000 inhabitants","0","Units",,,8.673254,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2008","2008","1000HAB","Per 1 000 inhabitants","0","Units",,,8.711349,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2009","2009","1000HAB","Per 1 000 inhabitants","0","Units",,,8.626121,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2010","2010","1000HAB","Per 1 000 inhabitants","0","Units",,,8.609463,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2011","2011","1000HAB","Per 1 000 inhabitants","0","Units",,,8.486176,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2012","2012","1000HAB","Per 1 000 inhabitants","0","Units",,,8.141465,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2013","2013","1000HAB","Per 1 000 inhabitants","0","Units",,,7.802151,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2014","2014","1000HAB","Per 1 000 inhabitants","0","Units",,,7.594052,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2015","2015","1000HAB","Per 1 000 inhabitants","0","Units",,,7.724219,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2016","2016","1000HAB","Per 1 000 inhabitants","0","Units",,,7.494214,,
"NLD","Netherlands","PM_DALY","DALYs from exposure to outdoor PM2.5","2017","2017","1000HAB","Per 1 000 inhabitants","0","Units",,,7.580476,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","1990","1990","PC","Percentage","0","Units",,,4.863389,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","1991","1991","PC","Percentage","0","Units",,,4.790507,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","1992","1992","PC","Percentage","0","Units",,,4.741692,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","1993","1993","PC","Percentage","0","Units",,,4.894897,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","1994","1994","PC","Percentage","0","Units",,,4.734687,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","1995","1995","PC","Percentage","0","Units",,,4.698445,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","1996","1996","PC","Percentage","0","Units",,,4.686601,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","1997","1997","PC","Percentage","0","Units",,,4.570162,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","1998","1998","PC","Percentage","0","Units",,,4.505886,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","1999","1999","PC","Percentage","0","Units",,,4.516498,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2000","2000","PC","Percentage","0","Units",,,4.451039,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2001","2001","PC","Percentage","0","Units",,,4.349524,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2002","2002","PC","Percentage","0","Units",,,4.296295,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2003","2003","PC","Percentage","0","Units",,,4.216023,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2004","2004","PC","Percentage","0","Units",,,4.004426,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2005","2005","PC","Percentage","0","Units",,,3.855714,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2006","2006","PC","Percentage","0","Units",,,3.722183,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2007","2007","PC","Percentage","0","Units",,,3.594872,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2008","2008","PC","Percentage","0","Units",,,3.588102,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2009","2009","PC","Percentage","0","Units",,,3.557481,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2010","2010","PC","Percentage","0","Units",,,3.529625,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2011","2011","PC","Percentage","0","Units",,,3.470422,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2012","2012","PC","Percentage","0","Units",,,3.336133,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2013","2013","PC","Percentage","0","Units",,,3.179857,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2014","2014","PC","Percentage","0","Units",,,3.07229,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2015","2015","PC","Percentage","0","Units",,,3.158403,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2016","2016","PC","Percentage","0","Units",,,3.076336,,
"NLD","Netherlands","PM_SC","Welfare cost of premature deaths from exposure to outdoor PM2.5, % GDP equivalent","2017","2017","PC","Percentage","0","Units",,,3.129068,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","1990","1990","PC","Percentage","0","Units",,,0.3741534,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","1991","1991","PC","Percentage","0","Units",,,0.3791549,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","1992","1992","PC","Percentage","0","Units",,,0.3852596,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","1993","1993","PC","Percentage","0","Units",,,0.4112859,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","1994","1994","PC","Percentage","0","Units",,,0.4068078,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","1995","1995","PC","Percentage","0","Units",,,0.4185116,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","1996","1996","PC","Percentage","0","Units",,,0.4254245,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","1997","1997","PC","Percentage","0","Units",,,0.4213631,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","1998","1998","PC","Percentage","0","Units",,,0.4251651,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","1999","1999","PC","Percentage","0","Units",,,0.4298092,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2000","2000","PC","Percentage","0","Units",,,0.4283888,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2001","2001","PC","Percentage","0","Units",,,0.4213797,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2002","2002","PC","Percentage","0","Units",,,0.4221439,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2003","2003","PC","Percentage","0","Units",,,0.4234774,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2004","2004","PC","Percentage","0","Units",,,0.4100783,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2005","2005","PC","Percentage","0","Units",,,0.4093545,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2006","2006","PC","Percentage","0","Units",,,0.4043155,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2007","2007","PC","Percentage","0","Units",,,0.3980505,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2008","2008","PC","Percentage","0","Units",,,0.4022596,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2009","2009","PC","Percentage","0","Units",,,0.4050647,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2010","2010","PC","Percentage","0","Units",,,0.4084734,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2011","2011","PC","Percentage","0","Units",,,0.414812,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2012","2012","PC","Percentage","0","Units",,,0.4257911,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2013","2013","PC","Percentage","0","Units",,,0.4270428,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2014","2014","PC","Percentage","0","Units",,,0.4222011,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2015","2015","PC","Percentage","0","Units",,,0.4421731,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2016","2016","PC","Percentage","0","Units",,,0.4536989,,
"NLD","Netherlands","O3_SC","Welfare cost of premature deaths from exposure to outdoor ozone, % GDP equivalent","2017","2017","PC","Percentage","0","Units",,,0.4642264,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","1990","1990","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,38.35991,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","1991","1991","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,39.00898,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","1992","1992","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,39.71809,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","1993","1993","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,42.45035,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","1994","1994","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,42.17819,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","1995","1995","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,43.60288,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","1996","1996","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,44.58001,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","1997","1997","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,44.47518,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","1998","1998","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,45.22352,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","1999","1999","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,46.11782,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2000","2000","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,46.29575,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2001","2001","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,45.67752,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2002","2002","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,45.7173,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2003","2003","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,45.83629,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2004","2004","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,44.51754,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2005","2005","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,44.58563,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2006","2006","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,44.30294,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2007","2007","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,43.89878,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2008","2008","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,44.47952,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2009","2009","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,44.41584,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2010","2010","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,44.88437,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2011","2011","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,45.70194,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2012","2012","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,46.78288,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2013","2013","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,46.87431,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2014","2014","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,46.44635,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2015","2015","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,48.83306,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2016","2016","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,50.29652,,
"NLD","Netherlands","O3_MOR","Mortality from exposure to outdoor ozone","2017","2017","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,51.75544,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","1990","1990","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5403049,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","1991","1991","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5465627,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","1992","1992","1000HAB","Per 1 000 inhabitants","0","Units",,,0.552304,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","1993","1993","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5861129,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","1994","1994","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5793816,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","1995","1995","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5960396,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","1996","1996","1000HAB","Per 1 000 inhabitants","0","Units",,,0.608162,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","1997","1997","1000HAB","Per 1 000 inhabitants","0","Units",,,0.6047933,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","1998","1998","1000HAB","Per 1 000 inhabitants","0","Units",,,0.6115132,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","1999","1999","1000HAB","Per 1 000 inhabitants","0","Units",,,0.6214471,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2000","2000","1000HAB","Per 1 000 inhabitants","0","Units",,,0.622019,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2001","2001","1000HAB","Per 1 000 inhabitants","0","Units",,,0.6105415,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2002","2002","1000HAB","Per 1 000 inhabitants","0","Units",,,0.6055733,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2003","2003","1000HAB","Per 1 000 inhabitants","0","Units",,,0.6036681,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2004","2004","1000HAB","Per 1 000 inhabitants","0","Units",,,0.582307,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2005","2005","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5758786,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2006","2006","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5673102,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2007","2007","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5600904,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2008","2008","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5663933,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2009","2009","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5637279,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2010","2010","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5680457,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2011","2011","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5789436,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2012","2012","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5915712,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2013","2013","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5923779,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2014","2014","1000HAB","Per 1 000 inhabitants","0","Units",,,0.5860511,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2015","2015","1000HAB","Per 1 000 inhabitants","0","Units",,,0.6157253,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2016","2016","1000HAB","Per 1 000 inhabitants","0","Units",,,0.6329829,,
"NLD","Netherlands","O3_DALY","DALYs from exposure to outdoor ozone","2017","2017","1000HAB","Per 1 000 inhabitants","0","Units",,,0.6478203,,
"NLD","Netherlands","TOT_MOR_V","Premature deaths from exposure to outdoor PM2.5 and ozone","1990","1990","PER","Persons","0","Units",,,8036.096,,
"NLD","Netherlands","TOT_MOR_V","Premature deaths from exposure to outdoor PM2.5 and ozone","1991","1991","PER","Persons","0","Units",,,8012.449,,
"NLD","Netherlands","TOT_MOR_V","Premature deaths from exposure to outdoor PM2.5 and ozone","1992","1992","PER","Persons","0","Units",,,8016.065,,
"NLD","Netherlands","TOT_MOR_V","Premature deaths from exposure to outdoor PM2.5 and ozone","1993","1993","PER","Persons","0","Units",,,8361.841,,
"NLD","Netherlands","TOT_MOR_V","Premature deaths from exposure to outdoor PM2.5 and ozone","1994","1994","PER","Persons","0","Units",,,8192.89,,
"NLD","Netherlands","TOT_MOR_V","Premature deaths from exposure to outdoor PM2.5 and ozone","1995","1995","PER","Persons","0","Units",,,8246.117,,
"NLD","Netherlands","TOT_MOR_V","Premature deaths from exposure to outdoor PM2.5 and ozone","1996","1996","PER","Persons","0","Units",,,8337.024,,
"NLD","Netherlands","TOT_MOR_V","Premature deaths from exposure to outdoor PM2.5 and ozone","1997","1997","PER","Persons","0","Units",,,8248.23,,
"NLD","Netherlands","TOT_MOR_V","Premature deaths from exposure to outdoor PM2.5 and ozone","1998","1998","PER","Persons","0","Units",,,8258.606,,
"NLD","Netherlands","TOT_MOR_V","Premature deaths from exposure to outdoor PM2.5 and ozone","1999","1999","PER","Persons","0","Units",,,8404.396,,
